Branch,CGPA,Python,Java,SQL,Projects,Internship,Certifications,Company
IT,6.88,No,Yes,Yes,2,Yes,5,Wipro
CE,6.8,No,Yes,Yes,1,Yes,1,Wipro
CE,6.59,Yes,No,Yes,4,No,0,Tech Mahindra
IT,7.94,No,Yes,Yes,3,Yes,0,Wipro
CSE,7.72,No,No,Yes,4,Yes,3,TCS
CE,7.5,No,Yes,Yes,1,Yes,2,Tech Mahindra
ECE,9.45,No,No,No,3,Yes,2,Capgemini
ECE,8.78,Yes,Yes,Yes,2,No,3,Capgemini
IT,8.84,Yes,No,Yes,2,Yes,2,Capgemini
EEE,6.73,No,Yes,No,4,No,1,TCS
ECE,7.34,No,No,No,3,Yes,1,Wipro
ME,6.81,Yes,Yes,Yes,2,No,4,Tech Mahindra
ME,7.8,No,No,Yes,1,No,5,TCS
CSE,7.5,Yes,No,Yes,3,Yes,4,TCS
IT,7.51,Yes,Yes,No,2,Yes,4,Wipro
ME,6.57,No,No,Yes,1,Yes,4,Tech Mahindra
CSE,8.99,Yes,Yes,Yes,4,Yes,2,Accenture
CE,7.94,Yes,Yes,No,4,No,3,HCL
ME,6.91,Yes,Yes,No,1,Yes,4,Tech Mahindra
CSE,6.74,Yes,Yes,Yes,1,No,0,Wipro
ECE,7.45,No,Yes,Yes,5,No,1,Wipro
ME,7.15,Yes,No,No,4,No,3,Wipro
CSE,8.79,Yes,Yes,No,3,Yes,1,Cognizant
ECE,8.32,Yes,No,Yes,3,No,1,TCS
ME,9.25,Yes,Yes,Yes,1,Yes,1,Deloitte
ME,8.14,No,Yes,Yes,4,Yes,3,Capgemini
ME,7.47,No,Yes,Yes,3,Yes,0,HCL
IT,8.34,No,Yes,Yes,5,No,4,Infosys
ECE,6.69,Yes,Yes,Yes,5,Yes,5,TCS
ME,6.91,Yes,Yes,Yes,4,No,2,Tech Mahindra
IT,8.94,Yes,No,No,2,No,3,Capgemini
CSE,6.53,Yes,Yes,Yes,5,No,1,TCS
CSE,9.49,No,No,Yes,4,No,4,Infosys
CE,6.53,No,Yes,Yes,3,Yes,0,Wipro
CE,7.03,No,Yes,No,2,No,4,TCS
EEE,9.58,Yes,Yes,No,3,Yes,0,Deloitte
ECE,8.67,No,Yes,No,5,No,4,Cognizant
CSE,6.76,Yes,Yes,No,5,Yes,3,TCS
CSE,7.55,Yes,No,Yes,2,Yes,2,HCL
ME,9.81,Yes,Yes,Yes,2,No,0,IBM
IT,9.64,No,Yes,No,2,Yes,3,IBM
ME,7.26,No,No,No,2,Yes,0,Wipro
ECE,7.85,No,Yes,No,3,No,5,HCL
EEE,9.69,Yes,No,Yes,5,No,0,IBM
CE,7.98,No,No,Yes,4,Yes,2,TCS
IT,7.98,Yes,No,No,1,No,4,TCS
